;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1190;1671600;0;True;full;;;1.0;0.0;0.0;1.0;;;2021-Jul-23;2021-07-23
1191;1162700;0;False;;;79.0;1.0;1.0;1.0;3.0;161.0;18.0;2021-Oct-13;2021-10-13
1192;1414180;0;False;;2.0;;1.0;0.0;0.0;1.0;826.0;33.0;2021-un-9J;
1193;672630;0;False;;;;1.0;1.0;0.0;2.0;2235.0;140.0;2021-Jan-28;2021-01-28
1194;1553910;0;False;;;;1.0;0.0;0.0;1.0;293.0;;2021-Jun-18;2021-06-18
1195;1758920;0;False;full;1.0;;1.0;0.0;0.0;1.0;106.0;22.0;2021-Dec21-20;
1196;1304400;0;False;;;;1.0;0.0;1.0;2.0;;;2021-Oct-15;2021-10-15
1197;1460800;0;True;;;;1.0;0.0;0.0;1.0;;;2021-Oct20-21;
1198;1729580;0;True;;1.0;;1.0;0.0;0.0;1.0;;;2021-ep-8S;
1199;1305310;0;False;full;;;1.0;0.0;1.0;2.0;205.0;68.0;2021-Oct21-20;
1200;1617190;0;True;;1.0;;1.0;0.0;0.0;1.0;;19.0;2021-May21-20;
1201;1819570;0;True;;;;1.0;0.0;0.0;1.0;;;2021-Dec-15;2021-12-15
1202;1025960;0;False;full;1.0;;1.0;0.0;0.0;1.0;1306.0;46.0;2021-Nov-29;2021-11-29
1203;1502660;0;False;;;;1.0;0.0;1.0;2.0;;34.0;2021-ay-9M;
1204;1676880;0;True;;2.0;;1.0;0.0;0.0;1.0;;;2021-Aug-11;2021-08-11
1205;1036700;0;False;;;;1.0;0.0;0.0;1.0;269.0;26.0;2021-Oct-14;2021-10-14
1206;1566230;0;False;;;;1.0;0.0;1.0;2.0;;1.0;2021-Mar-31;2021-03-31
1207;1625520;0;False;;;;1.0;1.0;0.0;2.0;;10.0;2021-May-28;2021-05-28
1208;1566060;0;False;;;;1.0;1.0;1.0;3.0;1230.0;100.0;2021-ay-7M;
1209;1483780;0;False;full;1.0;;1.0;0.0;0.0;1.0;313.0;7.0;2021-Feb-24;2021-02-24
1210;1510620;0;False;full;;;1.0;1.0;0.0;2.0;;12.0;2021-an-9J;
1211;1511240;0;False;;;;1.0;1.0;1.0;3.0;;;2021-Feb-26;2021-02-26
1212;1511950;0;False;;1.0;;1.0;0.0;0.0;1.0;;5.0;2021-Mar-18;2021-03-18
1213;1517240;0;False;;;;1.0;0.0;1.0;2.0;;34.0;2021-Sep-14;2021-09-14
1214;1543290;0;False;;2.0;;1.0;1.0;1.0;3.0;;16.0;2021-Feb-26;2021-02-26
1215;1548190;0;False;;;;1.0;1.0;0.0;2.0;;;2021-pr-1A;
1216;1787470;0;False;;;;1.0;0.0;0.0;1.0;;5.0;2021-Nov-29;2021-11-29
1217;1080010;0;False;full;;;1.0;0.0;0.0;1.0;;25.0;2021-Oct-26;2021-10-26
