;App_id;24_Hour_Peak;All_time_peak
3676;642830;Invalid;Invalid
3677;406860;Invalid;Invalid
3678;577280;Invalid;Invalid
3679;617680;Invalid;Invalid
3680;613590;0;139
3681;682570;Invalid;Invalid
3682;712180;2;23
3683;771570;0;5
3684;999760;Invalid;Invalid
3685;633110;Invalid;Invalid
3686;955580;Invalid;Invalid
3687;867120;Invalid;Invalid
3688;815830;0;11
3689;456180;Invalid;Invalid
3690;984660;1;14
3691;958960;Invalid;Invalid
3692;931260;Invalid;Invalid
3693;920460;0;11
3694;400350;3;16
3695;706520;Invalid;Invalid
3696;803010;0;109
3697;994870;2;4
3698;577080;0;979
3699;600120;Invalid;Invalid
3700;874030;Invalid;Invalid
3701;524430;Invalid;Invalid
3702;706240;Invalid;Invalid
3703;750500;Invalid;Invalid
3704;914680;Invalid;Invalid
3705;796620;Invalid;Invalid
3706;687720;Invalid;Invalid
3707;786490;Invalid;Invalid
3708;855100;Invalid;Invalid
3709;890940;Invalid;Invalid
3710;906880;0;1
3711;936020;Invalid;Invalid
3712;817770;Invalid;Invalid
3713;468330;Invalid;Invalid
3714;827220;Invalid;Invalid
3715;490930;Invalid;Invalid
3716;803040;1;35
3717;504110;Invalid;Invalid
3718;521320;0;7
3719;900370;Invalid;Invalid
3720;911050;Invalid;Invalid
3721;543900;52;5511
3722;773010;Invalid;Invalid
3723;787990;0;10
3724;878780;0;2
3725;904890;Invalid;Invalid
3726;923820;Invalid;Invalid
3727;950160;Invalid;Invalid
3728;877360;Invalid;Invalid
3729;459770;Invalid;Invalid
3730;661070;Invalid;Invalid
3731;669990;Invalid;Invalid
3732;672300;Invalid;Invalid
3733;675750;Invalid;Invalid
3734;678930;Invalid;Invalid
3735;679720;Invalid;Invalid
3736;690410;Invalid;Invalid
3737;700450;Invalid;Invalid
3738;702900;Invalid;Invalid
3739;725140;Invalid;Invalid
3740;725430;0;2
3741;730420;Invalid;Invalid
3742;730780;0;2
3743;738900;Invalid;Invalid
3744;748990;Invalid;Invalid
3745;752770;Invalid;Invalid
3746;756980;Invalid;Invalid
3747;759040;Invalid;Invalid
3748;761150;Invalid;Invalid
3749;762860;Invalid;Invalid
3750;764720;Invalid;Invalid
3751;768740;Invalid;Invalid
3752;770880;Invalid;Invalid
3753;772210;Invalid;Invalid
3754;774501;Invalid;Invalid
3755;776450;Invalid;Invalid
3756;777540;0;1
3757;777580;Invalid;Invalid
3758;778140;Invalid;Invalid
3759;782650;Invalid;Invalid
3760;783270;Invalid;Invalid
3761;783650;Invalid;Invalid
3762;784180;0;1
3763;786120;Invalid;Invalid
3764;786800;Invalid;Invalid
3765;789600;Invalid;Invalid
3766;792080;Invalid;Invalid
3767;792230;0;1
3768;793000;Invalid;Invalid
3769;793080;0;2
3770;793480;Invalid;Invalid
3771;795440;0;0
3772;796500;Invalid;Invalid
3773;798190;Invalid;Invalid
3774;799570;Invalid;Invalid
3775;801660;Invalid;Invalid
3776;805000;Invalid;Invalid
3777;805770;Invalid;Invalid
3778;805790;Invalid;Invalid
3779;810700;0;1
3780;811850;Invalid;Invalid
3781;812900;Invalid;Invalid
3782;813260;Invalid;Invalid
3783;817440;Invalid;Invalid
3784;819550;0;1
3785;824640;0;3
3786;826550;Invalid;Invalid
3787;831910;Invalid;Invalid
3788;832530;Invalid;Invalid
3789;836120;Invalid;Invalid
3790;838710;Invalid;Invalid
3791;839010;Invalid;Invalid
3792;839460;Invalid;Invalid
3793;843980;Invalid;Invalid
3794;847460;Invalid;Invalid
3795;847940;Invalid;Invalid
3796;848920;Invalid;Invalid
3797;850930;0;1
3798;853700;Invalid;Invalid
3799;854950;Invalid;Invalid
3800;855760;Invalid;Invalid
3801;856100;Invalid;Invalid
3802;856160;0;3
3803;856390;Invalid;Invalid
3804;861580;Invalid;Invalid
3805;863270;Invalid;Invalid
3806;864310;Invalid;Invalid
3807;864360;0;2
3808;864370;Invalid;Invalid
3809;864480;Invalid;Invalid
3810;867920;Invalid;Invalid
3811;868200;0;1
3812;870510;0;2
3813;873330;Invalid;Invalid
3814;875790;Invalid;Invalid
3815;878910;Invalid;Invalid
3816;881620;Invalid;Invalid
3817;882700;Invalid;Invalid
3818;886780;Invalid;Invalid
3819;890910;Invalid;Invalid
3820;894790;Invalid;Invalid
3821;897010;Invalid;Invalid
3822;900390;Invalid;Invalid
3823;901020;Invalid;Invalid
3824;904770;Invalid;Invalid
3825;905010;Invalid;Invalid
3826;913420;Invalid;Invalid
3827;914050;Invalid;Invalid
3828;915420;Invalid;Invalid
