;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
5126;1457810;0;False;;1.0;;1.0;0.0;0.0;1.0;;61.0;2020-Dec-11;2020-12-11
5127;745970;0;False;;4.0;;1.0;1.0;1.0;3.0;;42.0;2020-Sep-24;2020-09-24
5128;1130710;0;False;;1.0;63.0;1.0;0.0;0.0;1.0;;45.0;2020-Jan-30;2020-01-30
5129;1209720;0;False;full;;;1.0;0.0;0.0;1.0;;50.0;2020-May-15;2020-05-15
5130;1387170;0;False;;5.0;;1.0;1.0;0.0;2.0;;14.0;2020-Sep-17;2020-09-17
5131;1471610;0;False;;1.0;;1.0;0.0;0.0;1.0;;;2020-Nov-25;2020-11-25
5132;1185560;0;False;;;;1.0;0.0;0.0;1.0;1540.0;52.0;2020-Jan-30;2020-01-30
5133;1388430;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-23;2020-08-23
5134;523890;0;False;full;;;1.0;0.0;1.0;2.0;;15.0;2020-eb-7F;
5135;727740;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jul-23;2020-07-23
5136;765520;0;False;full;;;1.0;0.0;0.0;1.0;;;2020-eb-3F;
5137;878030;0;False;;;;1.0;0.0;1.0;2.0;;;2020-Jan-23;2020-01-23
5138;914440;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-ct-1O;
5139;921670;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jan-13;2020-01-13
5140;980360;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-24;2020-04-24
5141;1012640;0;False;;;;1.0;0.0;0.0;1.0;;;2020-pr-2A;
5142;1012670;0;False;;;;1.0;0.0;0.0;1.0;;22.0;2019-Dec-31;2019-12-31
5143;1016030;0;False;full;;;1.0;0.0;0.0;1.0;;;2020-Sep-10;2020-09-10
5144;1031220;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ar-5M;
5145;1040370;0;False;;;;1.0;0.0;0.0;1.0;;10.0;2020-Apr-24;2020-04-24
5146;1060550;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2020-pr-1A;
5147;1076450;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jan-10;2020-01-10
5148;1079470;0;False;full;;;1.0;0.0;0.0;1.0;;10.0;2020-Apr-24;2020-04-24
5149;1109100;0;False;;;;1.0;0.0;0.0;1.0;;;2020-eb-4F;
5150;1110090;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Dec-30;2020-12-30
5151;1112230;0;False;;3.0;;1.0;0.0;1.0;2.0;;28.0;2020-un-8J;
5152;1139660;0;False;;;;1.0;0.0;0.0;1.0;;0.0;2020-Dec-26;2020-12-26
5153;1145200;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-25;2020-08-25
